instance,rohanrajpal/bert-base-codemixed-uncased-sentiment,Sangramsing/whisper-large,michaellee8/wisper-base-jwt,Geotrend/bert-base-15lang-cased,lesliejd/jt-whisper,racheltong/whisper-tiny,nbroad/mt5-base-qgen,AbhirupGhosh/opus-mt-finetuned-en-hi,S-Fry/large,Helsinki-NLP/opus-mt-iir-en,damerajee/hindi-english,nbroad/mt5-small-qgen,Varosa/mbart-many-to-many,aditii09/whisper_eng_asr,bitextor/bicleaner-ai-full-en-hi,patrol90/whisper-large,Helsinki-NLP/opus-mt-en-inc,setu4993/LEALLA-base,Areeb123/En-Hi_Translation_Model,rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,monsoon-nlp/muril-adapted-local,Evan-Lin/whisper-large-v1-tw,defining/maggle,rohanrajpal/bert-base-en-hi-codemix-cased
Acha hai ISIS wale ke dabaaw me nahi aayi court..  Warna triple talaq pe ban nahi lag pata...,30,38,38,31,38,38,28,35,38,47,35,28,25,38,25,38,35,26,35,30,29,38,38,30
Iskaa matlab @laluprasadrjd n family ke din gaye ab uskay bacche bhi badh nahin payengay politics mein.,33,36,36,35,36,36,34,41,36,57,41,34,33,36,33,36,43,31,41,33,28,36,36,33
Bakshe tu jo pyaar se mujhko toh ho meri rihaai... Main bhi naachu!   #GuessTheSong #Bollywood @BeingSalmanKhan,44,49,49,47,49,49,34,49,49,64,49,34,38,49,38,49,50,38,49,44,38,49,49,44
Singh & Kaur - Nindy Kaur & Manj Musik.. #Bollywood. #Bollywood,24,27,27,21,27,27,20,24,27,38,24,20,22,27,22,27,28,18,24,24,19,27,27,24
To aap n apne samay m permanent kyoun ni kar diya tha aur ab un k naam par dirty politics kar rahe hai,30,32,32,30,32,32,29,37,32,53,37,29,28,32,28,32,38,27,37,30,25,32,32,30
Or pakistan mein cricket shuru hone se india ki har kaha se hogi pakistan news channels ke paas apne desh ke mudde khatam ho gaye kya 1/2,43,44,44,43,44,44,37,55,44,68,55,37,36,44,36,44,50,36,55,43,30,44,44,43
Sanskaari-Song .... #UseHeadPhones #BollywoodSongs #Bollywood #HindiDiwas #AppleEvent #bhabhijiGharperhaipic.twitter.com/PULM9j4ycD,56,62,62,58,62,62,45,61,62,85,61,45,53,62,53,62,62,53,61,56,54,62,62,56
Triple talaq ko muslim abb dhamki kay roop mai use kartay hi muslim ladies ko abnay nrechay rakhnay kay liye.,36,41,41,36,41,41,33,41,41,59,41,33,33,41,33,41,42,32,41,36,31,41,41,36
@iChocolatea ghar ki murgi daal barabar #irony,17,19,19,18,19,19,15,21,19,24,21,15,16,19,16,19,20,16,21,17,15,19,19,17
Hey Aisa Pehli Baar Hua Hai  Satra Athra Saalon Mein Koi Aaye Jaaye Mere  Khayaalon Mein #Bollywood_RETRO,37,39,39,36,39,39,29,43,39,57,43,29,31,39,31,39,45,30,43,37,34,39,39,37
@thekiranbedi mem jeeti jagati do nirbhaya khadi hai jo baba ke samane ladi kya unhe samman nahi mile politics se uthakar baat karni chahiye,48,50,50,48,50,50,40,62,50,72,62,40,39,50,39,50,58,37,62,48,38,50,50,48
"Aur badsoorat Insaan tujhe Kaafi maza Aya Na bey, Triple Talaq ban Ho gya to tu aur Kal K badsoorat Ho gya hai be",40,48,48,41,48,48,32,47,48,61,47,32,38,48,38,48,48,35,47,40,37,48,48,40
Airport aur Malls ke Urinals ke paas se guzro...aur uska flush bollywood ke kisi gaane ke jharne jaisa start ho jaata hai...,44,42,42,45,42,42,39,53,42,65,53,39,40,42,40,42,54,41,53,44,40,42,42,44
"Zardari to Obama ""Bhai Inaam ki raqam to mujhay hi milay gi na?"" #wtf #sarcasm",34,35,35,33,35,35,28,39,35,43,39,28,29,35,29,35,37,27,39,34,29,35,35,34
@sambitswaraj Patra ji..aaj kya maun varta h....baba pe kuch ni bolo..triple talaq pe to bhut kood rhe the,45,47,47,45,47,47,37,52,47,57,52,37,40,47,40,47,51,39,52,45,40,47,47,45
Ha ha thik hai thik hai Yogi ji.ekdam sahi nahi hain ... MahaMahhhem aap hi to ho UP ke udhhar kar dene wale Aap dhany hain  #sarcasm,49,58,58,51,58,58,44,58,58,75,58,44,44,58,44,58,59,45,58,49,43,58,58,49
Ye @juniorbachchan #Bollywood se hai? Dont know @ParineetiChopra song? #KBC . Baap ka naam kitna dubana hai ?,36,40,40,36,40,40,36,48,40,66,48,36,38,40,38,40,47,34,48,36,35,40,40,36
"Baba Ram Rahim Singh: ""Triple Talaq aur Right to Privacy ke baad sirf main hi mila tha??""  #DeraSachaSauda #RamRahimVerdict #DeraVerdict",47,57,57,50,57,57,44,56,57,72,56,44,43,57,43,57,53,44,56,47,45,57,57,47
"Jaaney jaana, deewana! Tera naam rakhdiya.   ##songoftheday #bollywood",26,31,31,25,31,31,19,28,31,41,28,19,22,31,22,31,30,20,28,26,22,31,31,26
"#TripleTalaq  sabhi Hindu puraan ka gyata nahi, Jo Muslim aayate puchhte hai kya 18wi sadi me hi rahna hai",38,40,40,37,40,40,35,46,40,56,46,35,34,40,34,40,44,32,46,38,30,40,40,38
Maqsad bandhna nahi hai lekin Urdu ka Jo huqe hai woh to use milna chahiye na aj har taraf Urdu ka istemal ho raha hai chage Bollywood me bh,47,53,53,43,53,53,39,55,53,74,55,39,35,53,35,53,55,37,55,47,41,53,53,47
Ek set hai logon ka. Jo bachpan se bollywood film dekhte bade hue hain. Har film dekhte hain. Kuch daily ek dekhte hain. Poore filmy.,42,50,50,42,50,50,39,52,50,76,52,39,37,50,37,50,50,36,52,42,35,50,50,42
"Shut up you Jihadi Sanghan. Abdul itna gussa kyu hain bhai, #TripleTalaq ban hua hai is liye ?",32,38,38,34,38,38,31,43,38,56,43,31,30,38,30,38,39,30,43,32,29,38,38,32
najaney kitney parosiyon k dil barbad hu gaye  suna ha kay PAKISTAN k stadium phr abad hu gaye  #no_issue_le_lo_tissue #cricket,41,51,51,43,51,51,40,56,51,75,56,40,41,51,41,51,55,37,56,41,42,51,51,41
Dear @duttsanjay #GaneshChaturthi ke din kuch Agarbattiiya bhi jalawo Bhai iiiii #SanjayDutt #Bollywood #BollywoodNewspic.twitter.com/DsJpBZcvih,59,66,66,57,66,66,48,70,66,92,70,48,55,66,55,66,70,46,70,59,50,66,66,59
@SarahJehanzeb Shukria aap ka bhut bhut ._. #grumpy #sarcasm :p,30,29,29,29,29,29,28,34,29,40,34,28,30,29,30,29,35,26,34,30,29,29,29,30
Aaj hi maine mithali raj ko list se hta diya hai kyunki wo bahut badi cricket queen ban gayi hai isliye chotte logo muh bhi lagati hai  .,44,47,47,45,47,47,41,56,47,74,56,41,40,47,40,47,53,37,56,44,34,47,47,44
mohalla cricket khel ke hi to yahan tk pahucha hun...kisi bhi cheez ki shuruat chote se hi hoti hai...,39,39,39,39,39,39,34,44,39,49,44,34,34,39,34,39,41,34,44,39,31,39,39,39
Triple talaq Aurat ka haq usko dilata he agar kisi aurat ne koi galti ki to usko sudharne ka time deta jo dusre kanoon me nhi..@PMOIndia,48,57,57,49,57,57,41,59,57,73,59,41,43,57,43,57,58,39,59,48,40,57,57,48
Mom- Kaha tha din bhar se? Sudarsan Pattnaik- Cricket khel raha tha Slapped* SP- kyun mara Mom- kitni baar kaha hai mitti mai khela kar,50,52,52,50,52,52,41,59,52,72,59,41,44,52,44,52,59,41,59,50,39,52,52,50
CricKet News: RuMMan Raees & IMaD WasiM SHaDaB Khan Jaise Khilari Bhi Moujood Hai Bharati Players Shaamli Hote To Acha Lagta. SarFaraz AHmed,47,56,56,56,56,56,52,60,56,81,60,52,53,56,53,56,58,53,60,47,55,56,56,47
Ise Kahate hai dogalepan me phd mohatarma aaj tak triple talaq ke mudde pe moo nahi kholi ek mauka laga whole community ko target kar diya,41,53,53,42,53,53,39,52,53,68,52,39,39,53,39,53,52,37,52,41,36,53,53,41
"#Bollywood  walo mere paas ek love story ki script  hai,  jisaka title  hai  "" AJAB PREM KI GAJAB KAHANI 2",32,43,43,34,43,43,29,42,43,59,42,29,32,43,32,43,43,30,42,32,32,43,43,32
Rechakodithe Rechipoye Sthayilo undakoodadu.. PawanKalyan Politics lo unnadu So manam Samyamanam paatinchaali,36,42,42,37,42,42,33,44,42,54,44,33,36,42,36,42,42,31,44,36,33,42,42,36
Aap aajoo madam politics may i promise k jo ghalthi apnaey soachee v nahe hoaghe uss kee sazaa daenee kee Baath opposition walaey karengaey,46,49,49,46,49,49,54,53,49,81,53,54,46,49,46,49,51,38,53,46,42,49,49,46
Teri gand faad to di katue sale triple talaq ban acha ab ye bta phle pic.twitter.com/rvd1TFaDF8,40,45,45,40,45,45,34,45,45,56,45,34,33,45,33,45,43,34,45,40,35,45,45,40
"Jab tum cricket khelte the wo padhai karta thaa, smjhe. Kabhi tum bhi padho.Jab dekho Twitter... ...",44,43,43,42,43,43,30,42,43,52,42,30,31,43,31,43,41,36,42,44,33,43,43,44
ML Khattar is like Jacky Bhagnani of politics. Har event ke baad fir se launch kiye jaate hain aur fir fail ho jaate hain.,36,38,38,36,38,38,32,46,38,69,46,32,36,38,36,38,42,31,46,36,33,38,38,36
"Agar #TripleTalaq hoti to 2 jane bach jati...Islam humanity ko bachene wala akela mazhab h,mante sabhi h, par kabhi to bolo ge",46,53,53,48,53,53,41,53,53,68,53,41,39,53,39,53,52,39,53,46,42,53,53,46
"@narendramodi ijust hate u..saale Hindu ke vote lo muslims or sc St Walo ke liye kaam kar raha hai tu,tum jaise log kyu aate ho politics Mai",50,50,50,49,50,50,45,55,50,77,55,45,43,50,43,50,52,42,55,50,41,50,50,50
Triple talaq ka matlab nahi jante to mujhe puch lena kya matlab ho fir triple talaq ka naam nahi lega tu,31,46,46,31,46,46,28,37,46,51,37,28,29,46,29,46,41,29,37,31,25,46,46,31
Bollywood ki shan khete hai ! Ladkiyo  ki Jan khete hai ! Jo Bollywood pee raj karta hai !! Us Raja ko sharukhan khete hai  pic.twitter.com/o6yVaoGKBv,63,58,58,60,58,58,50,72,58,90,72,50,47,58,47,58,66,46,72,63,47,58,58,63
Sabhi vote ke liye politics karte hai..BJP NE kiya to kaun sa naya khel khela..sab aik hai..General wale marte Rahe..inki Rajneeti chalegi,56,51,51,56,51,51,45,61,51,73,61,45,47,51,47,51,59,46,61,56,42,51,51,56
Pakistani cricket ka aaj Halala hoga... usk baad iska dbaara se nikkah ho jaye ga ICC se. #CricketKiHalalala #PAKVWXI,45,50,50,46,50,50,42,53,50,71,53,42,39,50,39,50,51,40,53,45,43,50,50,45
Ye sale ka vote bank politics har vakth.. ye andha hai hi our log jo baba logo ka Pooja karthe hai usse jyada andhe,35,35,35,35,35,35,32,41,35,61,41,32,34,35,34,35,41,32,41,35,32,35,35,35
"Rajniti me Rahul Gandhi aur Bollywood m Tushar Kapoor Ka mukabla koi nhi kar sakta, ye dono ke andar quality ek hi hai",39,39,39,34,39,39,32,43,39,62,43,32,27,39,27,39,44,27,43,39,30,39,39,39
Sunne me aaya h ki #Modi humare paale #Terrorist ko chun chun ke maar raha h  Aisa hi chalta raha to hum politics kaise karenge  @OfficeOfRGpic.twitter.com/WDtT6bgRcZ,58,70,70,65,70,70,56,73,70,90,73,56,56,70,56,70,66,55,73,58,55,70,70,58
Cricket_News: Fast Bowler Rumman Raees Aaj Zindagi Ki Nai Inning Shuru Kar Rahe Hain Rumman Raees Aaj Dulhaniya Ghar Layenge.,39,44,44,42,44,44,41,52,44,62,52,41,39,44,39,44,50,38,52,39,40,44,44,39
Jb hamare rachak secure nhi hai.apradhi belagam ho gye hai.Yeh politics ke den hai.bahut bahut dukhad ghatna hai,40,41,41,40,41,41,40,48,41,64,48,40,38,41,38,41,46,34,48,40,30,41,41,40
"Perera ko koi batao ke cricket wapis laani hai Pakistan mai, khatam naee karwani khabees shaks.",31,34,34,30,34,34,29,39,34,51,39,29,29,34,29,34,38,27,39,31,27,34,34,31
@TbgDgc ab aap cool ho toh garmi toh hogi na #Irony,23,28,28,24,28,28,19,26,28,33,26,19,21,28,21,28,26,20,26,23,21,28,28,23
@WaseemBadami waseem bhai aaj k 11Hour bohut acha tha Allah Pak Pakistani sada khush rakay  PAKISTAN CRICKET ZINDABAD  PAKISTAN ZINDABAD pic.twitter.com/lIM4ZEUFRX,57,72,72,68,72,72,53,75,72,103,75,53,57,72,57,72,71,60,75,57,64,72,72,57
Haha aur vikrant ne apni bio me editor sports likh rakha hai mujhe to cricket ke alawa kisi sports ki presentation karte nhi dekha isko,38,40,40,38,40,40,32,47,40,70,47,32,33,40,33,40,46,34,47,38,30,40,40,38
HC bans Triple Talaq.  Sardar 2 his Muslim frnd - koi bat nhi yara. Ek bar jyada bol lena!  #TripleTalaqOver #TripleTalaqVerdict #humour,47,58,58,48,58,58,43,60,58,74,60,43,43,58,43,58,56,42,60,47,45,58,58,47
jab savitri bai fule mahila o aur shudro ko padha ne jati thi tab uspe kichad fenkne wale aaj triple talaq ka virodh kr rhe h,45,56,56,45,56,56,40,56,56,69,56,40,37,56,37,56,54,37,56,45,40,56,56,45
#Pehlukhan Koyee #Naqvi ki trah Manushya #JashodaBen jaise Mahila se #TripleTalaq ko Swarth k Upyog kare Tau Kia Yeh #Quran k Masla hoga ?,56,60,60,58,60,60,48,67,60,83,67,48,49,60,49,60,63,50,67,56,51,60,60,56
Jab bhi koi Ladki dekhu mera dil deewana bole..#Bollywood pic.twitter.com/86iLZDuIz2,37,40,40,39,40,40,27,43,40,54,43,27,31,40,31,40,42,32,43,37,34,40,40,37
Sibbal to paise ke liye apna zameer bhi bechne ko taiyar dekh lijiye triple talaq case me,31,42,42,31,42,42,26,36,42,42,36,26,27,42,27,42,35,26,36,31,24,42,42,31
Mein politics karke rahat bachaw kam ko rokne mein lage aise logo pe karwai honi chahiye aise mukhiya ko salute hai ham sabhi des wasiyo,41,44,44,42,44,44,38,53,44,69,53,38,38,44,38,44,52,33,53,41,31,44,44,41
"tere kehne.se kya.hota hai bey , sharia imp hai aur triple talaq kya hota hai padho jhaeelo pic.twitter.com/E1FCAgg9GP",52,54,54,50,54,54,41,60,54,72,60,41,44,54,44,54,54,40,60,52,41,54,54,52
Unko kuchh nahi hoga.. woh politics jaisi cheez mein bhi hasa rahe hein,25,26,26,25,26,26,21,29,26,38,29,21,20,26,20,26,30,21,29,25,20,26,26,25
Jab tak cricket aur cinema hai hindustan me log chutiya bante rahenge,20,20,20,20,20,20,16,22,20,33,22,16,17,20,17,20,22,17,22,20,15,20,20,20
Lekin jo hindu dharmacharyo ko karna chahiye usme politicians ko ghusane ka mauka bhi nahi dena chahiye? Politics dharm ko vikrat kar deti h,45,51,51,45,51,51,42,50,51,73,50,42,39,51,39,51,50,35,50,45,34,51,51,45
Aaj hamaray India ki Muslim matain aur behnay kitne sakoon ke saath soyain gi.  #TripleTalaqOver  No to #TripleTalaq,36,46,46,39,46,46,36,51,46,58,51,36,36,46,36,46,48,37,51,36,36,46,46,36
Zameen per khuda ban ker chalney waley awam ki baat kartey hain. #Irony #PirPagara,27,33,33,28,33,33,27,39,33,48,39,27,26,33,26,33,36,26,39,27,27,33,33,27
Tujhe cricket k baare me koi gyaan nehi Hai tattey.,19,22,22,19,22,22,17,22,22,27,22,17,17,22,17,22,22,16,22,19,15,22,22,19
#KhattarMustResign @AmitShah aap log desh se bde nhi.Koi morality hti h politics mein.Aap ko pura support mila desh ka.aur aaj ek resign nhi,51,52,52,54,52,52,47,54,52,79,54,47,50,52,50,52,55,46,54,51,46,52,52,51
Agar kisiko sacche dil se chaho toh woh bahot bhaav khaati hai. #quoteoftheday #irony,32,34,34,33,34,34,25,39,34,45,39,25,27,34,27,34,39,25,39,32,31,34,34,32
Har jagah politics. Kam se kam baccho ki Chita to thandi ho Jane dete... Sharm aani chahiye,32,31,31,32,31,31,25,34,31,46,34,25,27,31,27,31,30,26,34,32,26,31,31,32
Hum musalmano ne sabit Kar Diya Kanoon Ki Izzat Hum Jyada Karte Hain nahi to triple talaq Kahin koi hinsa nahi hui,35,51,51,33,51,51,31,43,51,53,43,31,30,51,30,51,46,31,43,35,33,51,51,35
"Jabardasti karoge, ye sab chij tumko politics mai kyu chahiye. Jain vyapari logo kaho nonveg khane vale ko maal mat becho.",40,46,46,39,46,46,36,47,46,60,47,36,37,46,37,46,48,36,47,40,39,46,46,40
Ek din Nobel Peace Prize par maar-kaat ho jayegi. #irony,19,21,21,18,21,21,18,20,21,28,20,18,18,21,18,21,21,16,20,19,16,21,21,19
Bhai tu triple talaq ka gussa modi pe kyu nikalata hai...?,21,26,26,21,26,26,17,25,26,30,25,17,18,26,18,26,25,19,25,21,18,26,26,21
Cricket ka Nasha Sachin aur Dravid ke sath hi Dafan ho gaya...,20,22,22,22,22,22,18,25,22,29,25,18,17,22,17,22,23,19,25,20,20,22,22,20
Tumhara ghamand ab khatm ho gaya hoga. Ab tumko gaana v nahi mil raha hai. To politics shuru kar dia. Gazab ladki jaisi classical awaz hai.,47,52,52,48,52,52,43,56,52,72,56,43,43,52,43,52,56,41,56,47,37,52,52,47
Aam aadmi @DrKumarVishwas k pass do do iphone ?? Kumar vishwas ji ko party se resign karna hoga :p #sarcasm pic.twitter.com/VVUMqt4af1,57,55,55,57,55,55,47,64,55,83,64,47,47,55,47,55,58,48,64,57,45,55,55,57
Gobar minded politics teri @MamataOfficial karti hai. Samjha. India ka sath or desh k hit me nahi bol sakta to desh k khilaaf bhi mat bol,44,49,49,45,49,49,39,53,49,68,53,39,38,49,38,49,52,37,53,44,36,49,49,44
AAP nyaya k liye nahi vote k liye court jayegi..kisi Ko bachcho ki koi chinta nahi hai SAB vote bank ki politics kar rahe,40,43,43,40,43,43,36,47,43,67,47,36,36,43,36,43,47,31,47,40,33,43,43,40
Triple talaq nd Halala jaise rape ko Islam manoge aur hame insaniyat sikhaoge.ISIS ne lakhon bachho ko mar ke beghar kar Diya.ye Kya hai.,47,53,53,47,53,53,41,56,53,72,56,41,45,53,45,53,56,42,56,47,42,53,53,47
Triple talaq ke chakkar me aisa lapeta h Ki Beef aur intolerance ke mudde hi bhool gaye.,30,32,32,30,32,32,27,33,32,43,33,27,28,32,28,32,32,25,33,30,24,32,32,30
Triple Talaq se azadi pic.twitter.com/kvRksWC1xE,22,26,26,23,26,26,17,26,26,33,26,17,20,26,20,26,21,19,26,22,20,26,26,22
Bhookh se jayada ...cricket par hoti hai....,19,18,18,19,18,18,12,18,18,24,18,12,15,18,15,18,17,18,18,19,18,18,18,19
Cricket News Team Acha Khelti Hai To Khushi Hoti Hai. Nojawanon Ko Khilane Ki Soch Hai. Larke Bhi Ache Hain. Inzamam Ul Haq #MujTaBa,46,52,52,51,52,52,46,62,52,74,62,46,45,52,45,52,58,46,62,46,50,52,52,46
"#Irony ... #BharatRatna Recommend KarneWala Sansad Se Swayam Ghabrata Hai, Jisse Wo Recommend Kar Raha Hai Wo Sansad Se Ghabrata Nahin Tha",47,52,52,51,52,52,38,52,52,65,52,38,47,52,47,52,52,48,52,47,52,52,52,47
"I wish koi tere k v triple talaq k maja de,aur kuch moulanas ko halala k",25,33,33,25,33,33,23,29,33,37,29,23,23,33,23,33,28,22,29,25,23,33,33,25
Aap toh aise bol rahe hai jaise ki aap cricket ke ustaad ho budha hua toh kya hua jaan abhi bhi sabse zayda hai,43,46,46,43,46,46,33,50,46,65,50,33,33,46,33,46,51,32,50,43,33,46,46,43
@GirishSavant1 jaise muslim triple talaq dene k alaawa aur koyi kaamnhi karte,26,35,35,28,35,35,24,33,35,44,33,24,24,35,24,35,32,23,33,26,23,35,35,26
"Ye kya hai yaar tvf bollywood ke chutiye yahan bhi promotion ke time bheekh mangne pahunch jaate hai, bhikhari jaat",39,43,43,39,43,43,33,48,43,60,48,33,35,43,35,43,50,33,48,39,29,43,43,39
@SPN_Cricket dhoni Mar rha hai...,15,16,16,15,16,16,10,15,16,17,15,10,14,16,14,16,15,14,15,15,13,16,16,15
"halala, triple talaq, jihad  progressive hai ! Waise tum wohi log ho jo Yoga ko bhi backward kehte the.  Hindus to pichle 3000 saal se",42,50,50,41,50,50,39,47,50,72,47,39,37,50,37,50,45,36,47,42,35,50,50,42
"Sarkar ke bharshtiyachaar se le kar, cricket team ki haar tak.... Har baat pe naraaz hey humare desh ki janta.....",44,40,40,43,40,40,33,49,40,59,49,33,35,40,35,40,45,39,49,44,37,40,40,44
Jab TripleTalaq ki baat aati hai toh religion first..aur hindu rashtra ki baat aane pe kaahe itni khujli ho rahi ab? #hypocrite,46,49,49,47,49,49,43,55,49,74,55,43,42,49,42,49,53,41,55,46,40,49,49,46
"isse kahete hai gandi politics, sirf jumle hai saheb k..jo acha kaam kar raha hai usse kaam na karne do.. aur apne choro k liye sab milenga",47,46,46,48,46,46,44,62,46,75,62,44,44,46,44,46,62,42,62,47,40,46,46,47
Bandar kya jane aadi ka swaad Tujhe kya pta politics kya h,22,25,25,22,25,25,17,22,25,31,22,17,17,25,17,25,21,16,22,22,14,25,25,22
Tu is baat se sahmat ki agar tera baap politics me jana chahe bhart ke liye kuch karna chahe to teri maan ko chod de tabhi,40,48,48,40,48,48,36,48,48,60,48,36,33,48,33,48,46,33,48,40,32,48,48,40
Agar bachu stalk kia na tu aankhien nikaal ke gotiyaan khelnga.  #sarcasm,27,31,31,28,31,31,26,34,31,39,34,26,25,31,25,31,34,24,34,27,23,31,31,27
Kahe bhai.. Aap kya chahte hai ki Vidhayak jee paidal ghume aur developement bhi ker de!! #sarcasm @TIMESNOW @thenewshour,43,47,47,46,47,47,39,56,47,67,56,39,40,47,40,47,55,41,56,43,42,47,47,43
"Saahi murga haath laga, papa ko bachana hai, is baar papa k saath chachu bhi hai, kaat dalo.  Above jumla has nothing to do with politics",42,46,46,42,46,46,41,49,46,68,49,41,39,46,39,46,48,37,49,42,36,46,46,42
Aise politics ka koi maza nahi h jisme party apne supporter ki Nazro se hi Gir jaye... jo galat h wo galat h #KhattarMustResign @PMOIndia,47,49,49,51,49,49,41,52,49,78,52,41,43,49,43,49,52,45,52,47,45,49,49,47
INDIA ME HINDU MUSLIM OR DUSRA RAJNEETI POLITICS KARKA DESH KO SAB BARBAD KARDEGA..ISLIA HAMARA DESH AJJ BHI PICHA HAI #HinduGirlsForISIS,46,63,63,72,63,63,48,75,63,103,75,48,53,63,53,63,74,56,75,46,67,63,63,46
Ye kal tak cricket ki hi khushi na manaate rahen...,17,16,16,17,16,16,14,18,16,26,18,14,15,16,15,16,17,16,18,17,14,16,16,17
"Mujhe lagta hai that is some divine intervention/sign. Tennis aur Cricket matches koi bhi season mein ho, baarish aa hi jaati hai.",35,40,40,35,40,40,37,46,40,72,46,37,34,40,34,40,44,32,46,35,30,40,40,35
i think tumhe mere sare doggy se nikah kr lena chahiye.... triple talaq ka bh tension nh sabke sath rh lena..,43,44,44,43,44,44,33,44,44,60,44,33,29,44,29,44,43,32,44,43,38,44,44,43
rahul bhai ap soldiers ko bhi nahi chodte yar politics ko politics ki tarah lo ..apko agar kuch samaj nahi ata to kyu bol raheho,39,44,44,39,44,44,35,50,44,68,50,35,35,44,35,44,48,33,50,39,33,44,44,39
Tere baap ne agr teri maa ko time par triple talaq de diya hota to tere jaisa chutiya paida na hua hota.,37,47,47,37,47,47,30,41,47,52,41,30,29,47,29,47,42,31,41,37,28,47,47,37
@sambitswaraj Triple Talaq par Musalman dera sachha jaisi pritikriya to aap party atankwadi ghoshit kar chuki hoti,39,44,44,38,44,44,33,48,44,60,48,33,37,44,37,44,46,31,48,39,29,44,44,39
Mahilao ki azadi ke naam par ye Muslims ki bhavnao ke sath khela ja raha hai. Islam shariyat par chalta hai na ki sc se..... #TripleTalaq,50,50,50,49,50,50,42,63,50,77,63,42,41,50,41,50,57,44,63,50,45,50,50,50
Kya aapki mund budhi ko itna samachh nahi aa raha ki SC mein govt ko bhi apna stand batana tha aur govt ne triple talaq ke khilaf stand liya,47,54,54,46,54,54,42,59,54,76,59,42,42,54,42,54,58,38,59,47,39,54,54,47
Mitro..  Aaj se triple talaq bandh.,13,20,20,13,20,20,12,15,20,22,15,12,12,20,12,20,14,13,15,13,11,20,20,13
"Koi kutta bhi nahi puchta tuje, bhojpuri film me kam kar shayad waha koi tuje pasand kare! Bollywood me tuje ramu kaka ka roll bhi nahi dege",51,59,59,49,59,59,41,57,59,72,57,41,41,59,41,59,61,35,57,51,40,59,59,51
Ha Chutya jo hai saale..bollywood ka Koi bhi topic Ho ye hakle srk Aur apne national bhai ke chutiya fans shuru Ho jate hai.. Senseless fans,46,48,48,46,48,48,43,55,48,81,55,43,39,48,39,48,52,41,55,46,38,48,48,46
Tum bina burqa ke kaise ghoom rhi ho?. triple talaq ho gaya kya? .. halala kab karwana hai? #ReligionOfNoPeaceButTerrorism,45,53,53,51,53,53,37,52,53,71,52,37,40,53,40,53,53,44,52,45,45,53,53,45
Tum jai se kachh logo ki wajah se politics gandi hoti ja rhi hai,22,24,24,22,24,24,19,28,24,38,28,19,21,24,21,24,25,18,28,22,18,24,24,22
"Sukoon-e-dil ko chahiye jo cheezein, Wo dhoond rahe hain ladh ladh ke marr marr ke #ByMe #Shair #Irony @AbidZaidi1 @romarizvi @anandnama",56,63,63,58,63,63,50,67,63,81,67,50,51,63,51,63,66,52,67,56,53,63,63,56
"Loha garam hai, mar do hatoda #TripleTalaq #UniformCivilCode #UCCNext",24,30,30,29,30,30,23,32,30,40,32,23,24,30,24,30,31,25,32,24,26,30,30,24
Aaj Sonia ne jatai  Chinta aur kal Pappu LALU aur Kejriwal Jayenge sahanubhuti jatane phir politics  zoor Legi bas Inka kaam hai yahe so???,45,53,53,47,53,53,40,58,53,68,58,40,43,53,43,53,57,43,58,45,41,53,53,45
"Modiji #TripleTalaq ki baadme socho, pehle ye aunty ji ki Ghar wapsi karwao, ye Love Jihad wala mamla lag raha hai, plz rescue her  pic.twitter.com/hXQHWr5n4h",62,70,70,63,70,70,59,74,70,93,74,59,58,70,58,70,68,55,74,62,58,70,70,62
"P-83 ""Kaanta chota ho tab bhi chubta hai. kay mhanta?""- Peshwa Bajirao #RanveerSingh #BajiraoMastani #Bollywood #acrylicpainting #portraitpic.twitter.com/FUQwsauzKF",68,77,77,71,77,77,55,82,77,96,82,55,62,77,62,77,80,60,82,68,65,77,77,68
Maine pehle hi kaha tha mai politics me nai hu bhai mai sirf uski baat krta hu jo sahi ko sahi aur galat ko galat bolne ka guda rkhta hai,46,50,50,45,50,50,41,60,50,67,60,41,43,50,43,50,60,41,60,46,34,50,50,46
3 #BollywoodChutiapa  Aurat khilona nahin  Aadmi khilona hai   #bollywood pic.twitter.com/SGoBApW0kP,40,46,46,40,46,46,32,44,46,61,44,32,36,46,36,46,43,33,44,40,34,46,46,40
@ShubhamSaxenaIN jat Gujarat Maratha vyapam pds surjan cricket  Rajasthan,25,28,28,22,28,28,24,29,28,40,29,24,22,28,22,28,25,20,29,25,20,28,28,25
"Muslims jab tak 4-6 shaadi naa kare tab tak woh Muslim kahan, ... Issliye to triple talaq hatane se darte hain ...",44,48,48,41,48,48,31,42,48,61,42,31,32,48,32,48,41,35,42,44,35,48,48,44
Kyun ravish ji... Aap bhi join  kro politics.. Ho sakta hai kuch Acha kr lo,29,26,26,29,26,26,22,29,26,42,29,22,22,26,22,26,29,23,29,29,27,26,26,29
Aazkal K Balako Ki Kahani..  Muh Batak Jaisa Shauq Baazo Wale  #sarcasm #sarcastic #nadanbache #roast #roastingpeople #ikimrude,50,51,51,50,51,51,45,56,51,66,56,45,47,51,47,51,56,43,56,50,50,51,51,50
Sir just..chammach kitne Hai thali me ..aur thali ke bahar bhi..poor politics,27,28,28,27,28,28,26,31,28,41,31,26,26,28,26,28,30,24,31,27,22,28,28,27
